testcase_,1_mean,1_min,1_max,2_mean,2_min,2_max,best_mean,best_min,best_max,1_mean_gflops,1_min_gflops,1_max_gflops,2_mean_gflops,2_min_gflops,2_max_gflops,best_mean_gflops,best_min_gflops,best_max_gflops
0,4.3648e-05,3.7664e-05,5.2096e-05,3.899733333333333e-05,3.7664e-05,4.064e-05,2.8010666666666663e-05,2.5376e-05,3.1328e-05,5407.531,4530.634,6266.671,6052.411,5807.773,6266.671,8426.358,7534.088,9301.226
1,9.514666666666667e-06,8.896e-06,9.856e-06,8.906666666666667e-06,8.512e-06,9.664e-06,8.351999999999999e-06,8.224e-06,8.544e-06,2700.054,2606.545,2887.827,2884.369,2658.331,3018.105,3075.923,3006.801,3123.798
2,5.4848e-05,4.064e-05,6.3104e-05,4.552533333333333e-05,3.5136e-05,6.08e-05,3.834666666666667e-05,3.312e-05,4.6208e-05,4215.487,3663.968,5689.247,5078.733,3802.813,6580.459,6029.494,5003.701,6981.009
3,2.5696000000000003e-05,2.1376e-05,2.8928e-05,2.3392e-05,1.9872e-05,2.8928e-05,1.7866666666666666e-05,1.7664e-05,1.8144e-05,3999.083,3552.283,4807.281,4392.974,3552.283,5171.118,5751.518,5663.605,5817.507
4,3.157333333333333e-05,2.6592e-05,4.0352e-05,3.157333333333333e-05,2.6592e-05,4.0352e-05,1.9104e-05,1.7792e-05,2e-05,1627.33,1273.301,1932.168,1627.33,1273.301,1932.168,2689.501,2569.011,2887.827
5,8.180266666666667e-05,6.512e-05,9.8272e-05,7.262933333333333e-05,6.512e-05,8.4352e-05,4.357333333333333e-05,3.7152e-05,5.4208e-05,2826.448,2352.766,3550.538,3183.438,2741.026,3550.538,5306.25,4265.256,6223.38
6,2.912e-05,2.496e-05,3.712e-05,2.2592e-05,2.0448e-05,2.4864e-05,1.655466666666667e-05,1.5872e-05,1.7184e-05,3528.862,2768.331,4117.005,4548.533,4132.901,5025.452,6207.34,5980.007,6474.323
7,4.481066666666667e-05,3.5264e-05,5.1136e-05,4.474666666666666e-05,3.5072e-05,5.1136e-05,2.672e-05,2.4288e-05,2.8352e-05,1146.607,1004.776,1457.016,1148.247,1004.776,1464.993,1922.913,1812.226,2115.457
8,0.0001369066666666,0.000122272,0.000165248,0.0001068693333333,7.9648e-05,0.000149216,5.862399999999999e-05,5.4208e-05,6.1344e-05,1688.822,1399.176,1890.956,2163.493,1549.505,2902.91,3943.965,3769.089,4265.256
9,3.608533333333333e-05,3.184e-05,3.9232e-05,3.211733333333333e-05,2.832e-05,3.4624e-05,2.4597333333333333e-05,2.1632e-05,2.7072e-05,2847.707,2619.302,3227.401,3199.532,2967.896,3628.547,4177.707,3795.82,4750.391
10,5.872e-05,4.8e-05,6.864e-05,4.536533333333333e-05,4.384e-05,4.8224e-05,4.3434666666666666e-05,4.2784e-05,4.3936e-05,875.004,748.546,1070.421,1132.588,1065.449,1171.994,1182.931,1169.433,1200.921
11,0.0001567893333333,0.000135584,0.000170656,0.000143872,0.000132512,0.000164128,0.0001029653333333,9.44e-05,0.00010768,1474.66,1354.837,1705.297,1607.06,1408.724,1744.831,2245.523,2147.205,2449.269
12,4.2688e-05,3.7408e-05,4.768e-05,3.6928e-05,3.3856e-05,4.0192e-05,3.3216e-05,3.1424e-05,3.6736e-05,2407.244,2155.211,2747.018,2782.724,2556.739,3035.221,3093.703,2797.268,3270.126
