,testcase_,1_mean,1_min,1_max,2_mean,2_min,2_max,best_mean,best_min,best_max,1_mean_gflops,1_min_gflops,1_max_gflops,2_mean_gflops,2_min_gflops,2_max_gflops,best_mean_gflops,best_min_gflops,best_max_gflops,variability
0,0,1.3205333333333334e-05,1.184e-05,1.4976e-05,1.232e-05,1.1456e-05,1.28e-05,1.1488e-05,1.12e-05,1.1808e-05,17873.68,15760.41,19934.789,19158.109,18439.68,20602.994,20545.604,19988.813,21073.92,0.05149051490514905
1,1,5.194666666666666e-06,4.8e-06,5.568e-06,5.066666666666667e-06,4.8e-06,5.344e-06,4.853333333333333e-06,4.8e-06,4.96e-06,4945.478,4613.885,5352.107,5070.417,4807.281,5352.107,5293.292,5179.458,5352.107,0.032258064516129066
2,2,1.979733333333333e-05,1.7888e-05,2.2656e-05,1.812266666666667e-05,1.4912e-05,2.0928e-05,1.4005333333333331e-05,1.3952e-05,1.408e-05,11678.897,10205.288,12925.481,12758.112,11047.927,15505.03,16508.783,16421.236,16571.89,0.009090909090909172
3,3,9.408e-06,8.48e-06,1.0752e-05,8.149333333333333e-06,7.648e-06,8.832e-06,7.776e-06,7.552e-06,7.968e-06,10922.667,9557.333,12117.977,12609.675,11635.014,13436.251,13215.078,12896.643,13607.051,0.052208835341365556
4,4,1.2352e-05,1.0752e-05,1.376e-05,1.1808e-05,1.0624e-05,1.3344e-05,9.76e-06,9.664e-06,9.824e-06,4159.668,3734.028,4778.667,4351.306,3850.436,4836.241,5264.367,5230.072,5316.662,0.016286644951140083
5,5,2.394666666666667e-05,2.3296e-05,2.496e-05,2.1301333333333336e-05,1.8176e-05,2.304e-05,1.7045333333333334e-05,1.5968e-05,1.8912e-05,9655.248,9263.262,9924.923,10854.297,10035.2,12720.676,13564.476,12225.624,14479.647,0.15566835871404403
6,6,8.693333333333334e-06,8.16e-06,8.96e-06,8.330666666666666e-06,8.096e-06,8.608e-06,8.106666666666666e-06,8e-06,8.224e-06,11820.604,11468.8,12593.192,12335.201,11937.784,12692.743,12676.042,12495.191,12845.056,0.0272373540856031
7,7,1.893333333333333e-05,1.8144e-05,1.936e-05,1.7269333333333334e-05,1.6736e-05,1.7728e-05,1.4133333333333334e-05,1.3504e-05,1.4528e-05,2713.744,2653.937,2831.802,2975.229,2898.253,3070.042,3635.393,3536.634,3804.815,0.0704845814977974
8,8,3.262933333333333e-05,2.9344e-05,3.5104e-05,3.2234666666666665e-05,2.9056e-05,3.4688e-05,2.5269333333333336e-05,2.3872e-05,2.752e-05,7085.986,6586.458,7879.328,7172.744,6665.446,7957.427,9149.866,8401.563,9685.448,0.1325581395348837
9,9,1.1573333333333332e-05,1.136e-05,1.184e-05,1.1381333333333334e-05,1.0976e-05,1.184e-05,1.0666666666666666e-05,1.0272e-05,1.0976e-05,8879.071,8679.092,9045.814,9028.858,8679.092,9362.286,9633.792,9362.286,10003.938,0.06413994169096214
10,10,2.5088e-05,1.9744e-05,3.12e-05,2.1312e-05,1.9264e-05,2.4064e-05,1.976533333333333e-05,1.9264e-05,2.0224e-05,2048.0,1646.802,2602.321,2410.859,2135.149,2667.163,2599.512,2540.557,2667.163,0.04746835443037979
11,11,6.2784e-05,5.8304e-05,7.1424e-05,5.04e-05,4.2848e-05,5.8464e-05,4.4138666666666665e-05,4.2848e-05,4.544e-05,3682.642,3237.161,3965.611,4587.52,3954.759,5396.075,5238.287,5088.27,5396.075,0.057042253521126726
12,12,1.799466666666667e-05,1.6256e-05,2.1472e-05,1.7514666666666667e-05,1.5424e-05,2.1472e-05,1.5765333333333333e-05,1.5264e-05,1.6608e-05,5710.606,4785.788,6321.386,5867.108,4785.788,6662.373,6518.127,6187.407,6732.21,0.08092485549132944
