testcase_,1_mean,1_min,1_max,2_mean,2_min,2_max,best_mean,best_min,best_max,1_mean_gflops,1_min_gflops,1_max_gflops,2_mean_gflops,2_min_gflops,2_max_gflops,best_mean_gflops,best_min_gflops,best_max_gflops
0,3.182933333333334e-05,2.8192e-05,3.4304e-05,2.8064e-05,2.6016e-05,2.9984e-05,2.593066666666667e-05,2.4736e-05,2.8128e-05,7415.421,6880.478,8372.159,8410.344,7871.795,9072.413,9102.269,8391.208,9541.878
1,9.024e-06,8.128e-06,9.472e-06,7.946666666666668e-06,7.68e-06,8.128e-06,7.722666666666666e-06,7.648e-06,7.84e-06,2846.865,2712.216,3160.693,3232.816,3160.693,3345.067,3326.586,3276.8,3359.063
2,3.472e-05,3.0368e-05,3.9072e-05,3.229866666666667e-05,2.8672e-05,3.5168e-05,2.9536e-05,2.8672e-05,3.0336e-05,6659.303,5917.563,7613.64,7158.531,6574.471,8064.0,7828.108,7621.671,8064.0
3,1.7493333333333334e-05,1.6e-05,2.0032e-05,1.5658666666666666e-05,1.5296e-05,1.6e-05,1.5061333333333333e-05,1.4944e-05,1.5136e-05,5874.263,5129.815,6422.528,6562.529,6422.528,6718.126,6822.799,6789.142,6876.368
4,2.3957333333333332e-05,2.2688e-05,2.4672e-05,2.286933333333333e-05,2.1408e-05,2.4512e-05,2.0448e-05,1.9648e-05,2.1408e-05,2144.655,2082.532,2264.643,2246.687,2096.125,2400.048,2512.726,2400.048,2615.036
5,4.466133333333333e-05,3.92e-05,5.136e-05,4.075733333333333e-05,3.92e-05,4.336e-05,3.6010666666666664e-05,3.4656e-05,3.7664e-05,5176.984,4501.772,5898.24,5672.869,5332.357,5898.24,6420.626,6138.78,6671.601
6,1.7824e-05,1.68e-05,1.9616e-05,1.668266666666667e-05,1.6288e-05,1.7056e-05,1.6490666666666668e-05,1.6256e-05,1.6672e-05,5765.285,5238.604,6116.693,6159.714,6024.886,6308.967,6231.431,6163.655,6321.386
7,2.8416000000000004e-05,2.5568e-05,3.3472e-05,2.8170666666666668e-05,2.5088e-05,3.3472e-05,2.4469333333333333e-05,2.4032e-05,2.5088e-05,1808.144,1535.021,2009.552,1823.891,1535.021,2048.0,2099.78,2048.0,2137.992
8,6.6176e-05,6.1696e-05,7.3664e-05,5.978666666666666e-05,5.4784e-05,6.288e-05,5.2928e-05,5.2608e-05,5.312e-05,3493.88,3138.725,3747.585,3867.267,3677.02,4220.411,4368.406,4352.617,4394.978
9,2.3690666666666667e-05,2.3552e-05,2.3936e-05,2.2176e-05,2.1056e-05,2.3584e-05,2.138666666666667e-05,2.1056e-05,2.1888e-05,4337.592,4293.134,4363.13,4633.859,4357.21,4880.34,4804.884,4694.83,4880.34
10,5.108266666666666e-05,4.2624e-05,6.7808e-05,3.969066666666667e-05,3.8272e-05,4.1696e-05,3.944533333333333e-05,3.8144e-05,4.112e-05,1005.825,757.731,1205.429,1294.517,1232.258,1342.502,1302.568,1249.519,1347.007
11,0.0001081386666666,0.000102752,0.000116448,0.0001037333333333,9.2416e-05,0.00011616,9.770666666666668e-05,8.4576e-05,0.00011616,2138.097,1985.53,2250.185,2228.898,1990.453,2501.85,2366.379,1990.453,2733.766
12,3.5221333333333334e-05,3.2928e-05,3.9008e-05,3.435733333333334e-05,3.1488e-05,3.8816e-05,3.112533333333333e-05,3.1008e-05,3.1232e-05,2917.563,2634.343,3120.762,2990.932,2647.373,3263.48,3301.505,3290.23,3313.998
