testcase_,1_mean,1_min,1_max,2_mean,2_min,2_max,best_mean,best_min,best_max,1_mean_gflops,1_min_gflops,1_max_gflops,2_mean_gflops,2_min_gflops,2_max_gflops,best_mean_gflops,best_min_gflops,best_max_gflops
0,7.0304e-05,6.3136e-05,7.5328e-05,6.237866666666667e-05,5.7184e-05,6.5504e-05,5.869866666666666e-05,5.664e-05,6.2464e-05,7273.802,6788.676,8099.617,8197.953,7806.812,8942.666,8711.908,8186.754,9028.556
1,0.0001868906666666,0.000183872,0.000190944,0.000184736,0.0001816,0.000190208,0.0001757973333333,0.000168896,0.0001824,14593.271,14283.487,14832.852,14763.48,14338.756,15018.426,15514.15,14952.556,16148.08
2,0.0002097066666666,0.000188416,0.0002496,0.0001928,0.000174304,0.000212992,0.0001888746666666,0.000174304,0.000201216,13005.529,10926.868,14475.13,14145.986,12804.923,15647.066,14439.979,13554.321,15647.066
3,3.2608000000000004e-05,3.008e-05,3.4976e-05,3.184e-05,3.008e-05,3.2768e-05,3.1701333333333334e-05,3.008e-05,3.2672e-05,9293.378,8664.183,10074.417,9517.54,9248.0,10074.417,9559.171,9275.173,10074.417
4,0.0002337706666666,0.000220352,0.00024912,0.00022752,0.000218176,0.000245664,0.0002106773333333,0.000197664,0.000218176,11666.76,10947.921,12377.225,11987.281,11101.937,12500.67,12945.608,12500.67,13797.89
5,4.429866666666666e-05,4.1024e-05,4.9504e-05,4.194133333333334e-05,3.9712e-05,4.3776e-05,3.994666666666666e-05,3.9296e-05,4.0832e-05,6840.803,6121.495,7386.858,7225.294,6922.48,7630.904,7586.076,7421.592,7711.687
6,0.0003220693333333,0.000296064,0.00034656,0.0003054933333333,0.000291968,0.0003176,0.000254176,0.000242208,0.000273728,8468.196,7869.766,9212.016,8927.678,8587.362,9341.25,10730.148,9963.709,11260.347
7,5.2288e-05,4.6176e-05,5.7984e-05,5.0464e-05,4.5792e-05,5.7984e-05,4.674133333333333e-05,4.5792e-05,4.7744e-05,5795.564,5226.243,6562.683,6005.042,5226.243,6617.716,6483.308,6347.153,6617.716
8,0.0007725013333333,0.00073024,0.000832736,0.0007696746666666,0.000726144,0.000832032,0.0007180693333333,0.00068592,0.000740512,14122.156,13100.652,14939.451,14174.021,13111.737,15023.721,15192.662,14732.219,15904.748
9,0.0004258133333333,0.000360512,0.000464544,0.0003884693333333,0.000279712,0.000452384,0.000345536,0.0002792,0.000452384,6405.028,5871.018,7565.202,7020.75,6028.83,9750.551,7893.088,6028.83,9768.432
10,9.511466666666668e-05,7.904e-05,0.00010816,9.4976e-05,7.8752e-05,0.00010816,8.445866666666666e-05,7.7952e-05,9.6672e-05,3186.033,2801.761,3833.989,3190.685,2801.761,3848.01,3588.009,3134.708,3887.501
