testcase_,1_mean,1_min,1_max,2_mean,2_min,2_max,best_mean,best_min,best_max,1_mean_gflops,1_min_gflops,1_max_gflops,2_mean_gflops,2_min_gflops,2_max_gflops,best_mean_gflops,best_min_gflops,best_max_gflops
0,1.9242666666666668e-05,1.696e-05,2.0544e-05,1.7941333333333334e-05,1.6704e-05,2.0224e-05,1.4517333333333332e-05,1.2576e-05,1.6896e-05,12265.863,11488.897,13916.74,13155.539,11670.684,14130.023,16258.351,13969.455,18768.122
1,6.570666666666667e-06,5.856e-06,7.872e-06,6.144e-06,5.76e-06,6.816e-06,4.906666666666667e-06,4.48e-06,5.344e-06,3909.818,3263.48,4386.973,4181.333,3769.089,4460.089,5235.757,4807.281,5734.4
2,3.7856e-05,2.9472e-05,5.264e-05,2.984533333333333e-05,2.6176e-05,3.1904e-05,1.9306666666666663e-05,1.7472e-05,2.144e-05,6107.645,4392.306,7845.107,7746.974,7247.085,8832.939,11975.708,10784.096,13233.231
3,1.2138666666666666e-05,1.1264e-05,1.2608e-05,1.1712e-05,1.1232e-05,1.2512e-05,8.469333333333332e-06,7.488e-06,9.088e-06,8465.547,8150.416,9122.909,8773.945,8212.951,9148.9,12133.239,11307.268,13723.35
4,2.2528e-05,1.7376e-05,3.2512e-05,2.065066666666667e-05,1.648e-05,2.8192e-05,1.1648e-05,1.0752e-05,1.2608e-05,2280.727,1580.346,2956.965,2488.066,1822.511,3117.732,4411.077,4075.208,4778.667
5,4.7872e-05,4.1824e-05,5.968e-05,4.602666666666667e-05,3.6288e-05,5.968e-05,2.2624e-05,1.8624e-05,2.6464e-05,4829.775,3874.179,5528.19,5023.414,3874.179,6371.556,10219.723,8736.813,12414.68
6,1.5338666666666666e-05,1.2256e-05,1.7376e-05,1.3813333333333332e-05,1.152e-05,1.7312e-05,9.525333333333334e-06,8.128e-06,1.1072e-05,6699.438,5913.93,8384.501,7439.222,5935.793,8920.178,10788.121,9281.11,12642.772
7,3.648e-05,2.6368e-05,5.4944e-05,2.098133333333333e-05,1.6448e-05,2.8064e-05,1.36e-05,1.1904e-05,1.5648e-05,1408.449,935.138,1948.583,2448.854,1830.823,3123.798,3777.958,3283.501,4316.215
8,8.7328e-05,4.3904e-05,0.000115296,7.172266666666667e-05,4.384e-05,0.000102272,3.4464e-05,3.184e-05,3.7568e-05,2647.616,2005.369,5266.286,3223.681,2260.746,5273.974,6708.769,6154.467,7261.652
9,1.504e-05,1.408e-05,1.5968e-05,1.3386666666666668e-05,1.1936e-05,1.4144e-05,1.2501333333333332e-05,1.1936e-05,1.3056e-05,6832.477,6435.399,7298.327,7676.328,7265.303,8609.287,8219.959,7870.745,8609.287
10,3.738666666666667e-05,3.4016e-05,4.0224e-05,2.738133333333333e-05,2.1376e-05,3.6224e-05,1.976533333333333e-05,1.9264e-05,2.0256e-05,1374.293,1277.352,1510.472,1876.469,1418.403,2403.641,2599.512,2536.543,2667.163
11,9.0656e-05,8.208e-05,0.000102944,9.0656e-05,8.208e-05,0.000102944,4.401066666666667e-05,4.096e-05,4.8864e-05,2550.421,2245.988,2816.898,2550.421,2245.988,2816.898,5253.522,4731.725,5644.8
12,2.6773333333333333e-05,2.5472e-05,2.8928e-05,2.3584e-05,2.0352e-05,2.592e-05,1.943466666666667e-05,1.6e-05,2.448e-05,3838.164,3552.283,4034.251,4357.21,3964.523,5049.157,5287.482,4197.731,6422.528
