testcase_,1_mean,1_min,1_max,2_mean,2_min,2_max,best_mean,best_min,best_max,1_mean_gflops,1_min_gflops,1_max_gflops,2_mean_gflops,2_min_gflops,2_max_gflops,best_mean_gflops,best_min_gflops,best_max_gflops
0,5.3504e-05,5.0112e-05,5.9072e-05,4.594133333333333e-05,3.8368e-05,5.0112e-05,3.1893333333333335e-05,2.8352e-05,3.7056e-05,9557.742,8656.849,10204.69,11131.096,10204.69,13328.227,16033.991,13800.124,18036.731
1,0.0001448853333333,0.000129056,0.000163008,0.0001438293333333,0.000126048,0.000162848,0.0001040533333333,9.9808e-05,0.000111328,18824.17,16731.364,21133.044,18962.378,16747.803,21637.362,26211.041,24498.295,27325.928
2,0.000150368,0.000142368,0.000161312,0.0001503253333333,0.000142368,0.000161184,9.845333333333332e-05,8.96e-05,0.000107904,18137.81,16907.274,19157.017,18142.958,16920.7,19157.017,27701.918,25275.673,30439.131
3,3.1146666666666664e-05,2.912e-05,3.3344e-05,2.718933333333333e-05,2.3104e-05,3.0976e-05,2.2581333333333337e-05,1.9456e-05,2.8288e-05,9729.403,9088.246,10406.541,11145.491,9783.008,13116.277,13419.866,10712.615,15575.579
4,0.000199232,0.000168192,0.00024496,0.0001840426666666,0.000167968,0.000200256,0.0001138879999999,0.00010496,0.000121504,13689.298,11133.843,16215.671,14819.097,13619.298,16237.296,23947.617,22446.555,25984.624
5,3.482666666666667e-05,3.1648e-05,3.8496e-05,3.482666666666667e-05,3.1648e-05,3.8496e-05,2.6026666666666663e-05,2.5056e-05,2.6656e-05,8701.334,7871.947,9575.28,8701.334,7871.947,9575.28,11643.384,11368.49,12094.447
6,0.000352768,0.000241472,0.0005232,0.000244896,0.000217312,0.000278752,0.0001617706666666,0.000139456,0.000204448,7731.274,5212.818,11294.668,11136.753,9784.131,12550.371,16859.337,13340.048,19557.037
7,4.494933333333333e-05,4.2368e-05,4.7104e-05,3.7408e-05,3.616e-05,3.8368e-05,2.865066666666667e-05,2.7648e-05,3.0336e-05,6741.779,6433.391,7152.532,8100.9,7898.209,8380.488,10577.013,9989.401,10960.593
8,0.0006209173333333,0.00059472,0.000665248,0.0005680746666666,0.000462528,0.000638912,0.0003968106666666,0.000386048,0.000403648,17569.786,16398.974,18343.733,19204.139,17074.941,23586.431,27492.67,27026.976,28259.141
9,0.00029888,0.000231872,0.000389088,0.0002986346666666,0.000231136,0.000389088,0.0001956373333333,0.000168448,0.000224512,9125.221,7009.587,11762.292,9132.718,7009.587,11799.746,13940.827,12147.886,16191.027
10,6.861866666666667e-05,5.3952e-05,8.2112e-05,6.368e-05,5.3728e-05,6.8736e-05,5.847466666666667e-05,5.3504e-05,6.7264e-05,4416.269,3690.55,5616.816,4758.77,4408.73,5640.233,5182.389,4505.21,5663.847
