testcase_,1_mean,1_min,1_max,2_mean,2_min,2_max,best_mean,best_min,best_max,1_mean_gflops,1_min_gflops,1_max_gflops,2_mean_gflops,2_min_gflops,2_max_gflops,best_mean_gflops,best_min_gflops,best_max_gflops
0,3.1488e-05,2.8352e-05,3.3312e-05,2.8202666666666667e-05,2.7424e-05,2.8832e-05,2.608e-05,2.5248e-05,2.6944e-05,16240.39,15351.147,18036.731,18132.236,17736.453,18647.076,19608.029,18979.268,20254.175
1,9.412266666666669e-05,8.752e-05,0.000103328,8.247466666666666e-05,7.136e-05,0.000103328,7.453866666666666e-05,7.1232e-05,7.9936e-05,28976.508,26395.035,31162.548,33068.896,26395.035,38219.537,36589.683,34119.122,38288.216
2,0.0001098026666666,9.7856e-05,0.000128128,9.3632e-05,9.1008e-05,9.5296e-05,8.519466666666667e-05,8.3648e-05,8.752e-05,24838.615,21286.106,27871.016,29128.355,28619.734,29968.203,32013.109,31162.548,32605.037
3,2.0672e-05,1.9808e-05,2.112e-05,2.0448e-05,1.9136e-05,2.112e-05,1.8496e-05,1.8112e-05,1.8816e-05,14659.368,14348.412,15298.792,14819.956,14348.412,15836.04,16384.0,16105.361,16731.364
4,0.000129216,0.000123328,0.000135456,0.000115328,0.00011008,0.00012016,9.941333333333334e-05,9.552e-05,0.000102912,21106.877,20134.554,22114.574,23648.604,22697.621,24776.037,27434.41,26501.731,28552.619
5,2.350933333333333e-05,2.1888e-05,2.6112e-05,2.1194666666666665e-05,2.0864e-05,2.1536e-05,1.888e-05,1.8592e-05,1.9264e-05,12890.134,11605.333,13844.959,14297.864,14071.251,14524.466,16050.766,15730.817,16299.401
6,0.0004302613333333,0.0003592,0.0004888,0.0003877546666666,0.000322432,0.000444224,0.0003450133333333,0.000322432,0.000360928,25355.252,22318.708,30371.338,28134.761,24558.296,33834.684,31620.183,30225.931,33834.684
7,0.0001336319999999,0.000125984,0.000145184,0.0001332266666666,0.000125984,0.000145184,0.000128032,0.000125504,0.000132608,20409.379,18785.446,21648.354,20471.473,18785.446,21648.354,21302.066,20566.981,21731.149
8,3.111466666666667e-05,2.8288e-05,3.4464e-05,2.702933333333333e-05,2.3744e-05,2.928e-05,2.4e-05,2.32e-05,2.4672e-05,9739.409,8792.899,10712.615,11211.466,10349.674,12762.739,12626.603,12282.687,13062.003
9,0.0002072533333333,0.000186464,0.000246784,0.0001704213333333,0.000167712,0.000172704,0.0001702933333333,0.000167488,0.000172544,13159.48,11051.552,14626.663,16003.549,15792.027,16262.081,16015.578,15806.671,16283.83
10,5.377066666666666e-05,5.2256e-05,5.4656e-05,5.377066666666666e-05,5.2256e-05,5.4656e-05,5.184e-05,5.0592e-05,5.28e-05,5635.758,5544.468,5799.113,5635.758,5544.468,5799.113,5845.649,5739.365,5989.849
