testcase,mean,min,max,mean_gflops,min_gflops,max_gflops
0,3.1e-05,3.037e-05,3.146e-05,16496.045,16254.845,16838.242
1,0.0001114266666666,0.00011053,0.00011293,24476.602,24150.768,24675.167
2,0.0001196799999999,0.00011885,0.0001208,22788.655,22577.369,22947.801
3,2.112e-05,2.0960000000000003e-05,2.138e-05,14348.412,14173.923,14457.942
4,0.00026912,0.00026896,0.00026931,10134.312,10127.163,10140.341
5,2.661333333333333e-05,2.656e-05,2.669e-05,11386.716,11354.008,11409.581
6,0.0006115,0.00061136,0.00061168,4460.092,4458.779,4461.113
7,3.473000000000001e-05,3.4590000000000006e-05,3.485e-05,8725.553,8695.508,8760.869
8,0.0010333333333333,0.001,0.00105,10557.469,10389.89,10909.385
9,0.0005994866666666,0.00059904,0.00060035,4549.469,4542.927,4552.862
10,5.419666666666667e-05,5.395e-05,5.45e-05,5591.459,5560.339,5617.024
