testcase_,1_mean,1_min,1_max,2_mean,2_min,2_max,best_mean,best_min,best_max,1_mean_gflops,1_min_gflops,1_max_gflops,2_mean_gflops,2_min_gflops,2_max_gflops,best_mean_gflops,best_min_gflops,best_max_gflops
0,,,,1.26112e-05,1.23816e-05,1.28317e-05,9.939193333333334e-06,9.62525e-06,1.03619e-05,,,,18715.737,18394.126,19062.795,23747.189,22778.439,24521.743
1,4.251755e-06,4.07524e-06,4.42827e-06,4.132096666666667e-06,3.9423e-06,4.42827e-06,3.84114e-06,3.33387e-06,4.17965e-06,6042.237,5801.388,6303.951,6217.21,5801.388,6516.529,6688.148,6146.474,7705.793
2,,,,1.888733333333333e-05,1.74464e-05,1.96877e-05,1.3214966666666666e-05,1.22472e-05,1.47764e-05,,,,12241.591,11743.932,13252.649,17496.148,15647.317,18878.683
3,6.96484e-06,6.96484e-06,6.96484e-06,8.458033333333333e-06,6.96484e-06,9.399e-06,6.8961766666666674e-06,6.0762e-06,7.80873e-06,14754.172,14754.172,14754.172,12149.449,10933.126,14754.172,14901.075,13159.688,16911.959
4,,,,1.131296e-05,9.60028e-06,1.36121e-05,8.937883333333333e-06,8.12438e-06,9.76214e-06,,,,4541.714,3774.599,5351.951,5748.59,5263.213,6324.202
5,,,,2.183063333333333e-05,2.01832e-05,2.43882e-05,1.7835766666666666e-05,1.63873e-05,1.98137e-05,,,,10591.127,9480.446,11455.617,12963.334,11669.249,14109.158
6,8.739725e-06,7.59471e-06,9.88474e-06,8.24824e-06,7.56137e-06,9.58864e-06,6.78015e-06,6.32886e-06,7.1568e-06,11757.858,10395.868,13530.53,12458.47,10716.895,13590.189,15156.073,14358.435,16236.802
7,1.30516e-05,1.25991e-05,1.35041e-05,1.24993e-05,1.11421e-05,1.33309e-05,9.938093333333331e-06,9.3685e-06,1.10539e-05,3936.699,3804.787,4078.087,4110.648,3854.22,4611.359,5170.028,4648.154,5484.36
8,,,,3.47043e-05,2.68704e-05,4.43148e-05,2.32238e-05,2.15063e-05,2.47423e-05,,,,6662.316,5217.467,8604.673,9955.778,9344.766,10750.85
9,1.302848e-05,9.62044e-06,1.7308e-05,1.006077e-05,8.50388e-06,1.2157e-05,8.862096666666666e-06,8.26182e-06,9.50124e-06,7887.37,5937.165,10681.471,10213.974,8452.78,12083.949,11595.501,10815.478,12437.992
10,2.30315e-05,1.80611e-05,2.65916e-05,1.8660933333333333e-05,1.52327e-05,2.29662e-05,1.67228e-05,1.46281e-05,2.07541e-05,2230.867,1932.198,2844.8,2753.358,2237.211,3373.021,3072.465,2475.666,3512.433
11,,,,5.38903e-05,4.10758e-05,6.09995e-05,3.186133333333333e-05,3.01955e-05,3.38949e-05,,,,4290.401,3790.375,5628.886,7256.79,6821.41,7657.135
12,1.5730966666666666e-05,1.25029e-05,1.98575e-05,1.5320733333333334e-05,1.14232e-05,1.97188e-05,1.2731366666666666e-05,1.08727e-05,1.48919e-05,6532.367,5174.894,8218.929,6707.28,5211.293,8995.767,8071.439,6900.426,9451.235
