testcase_,1_mean,1_min,1_max,2_mean,2_min,2_max,best_mean,best_min,best_max,1_mean_gflops,1_min_gflops,1_max_gflops,2_mean_gflops,2_min_gflops,2_max_gflops,best_mean_gflops,best_min_gflops,best_max_gflops
0,,,,2.805565e-05,2.71255e-05,2.89858e-05,2.37047e-05,2.2041e-05,2.45962e-05,,,,18227.252,17642.342,18852.276,21572.828,20790.911,23201.189
1,,,,8.019536666666666e-05,6.91609e-05,8.91628e-05,6.786693333333334e-05,6.18737e-05,7.31406e-05,,,,34008.775,30588.386,39434.799,40186.672,37289.087,44079.248
2,,,,9.606573333333332e-05,9.41955e-05,9.73428e-05,8.384003333333334e-05,7.32418e-05,9.04716e-05,,,,28390.416,28017.955,28954.103,32530.357,30145.882,37237.563
3,,,,1.93305e-05,1.88112e-05,1.98401e-05,1.4717466666666664e-05,1.41891e-05,1.55439e-05,,,,15676.701,15274.039,16109.47,20590.396,19495.652,21357.131
4,,,,0.000132429,0.000119119,0.000145381,0.000109968,0.000102401,0.000117391,,,,20594.78,18759.99,22895.979,24801.271,23233.009,26633.98
5,2.09591e-05,2.09591e-05,2.09591e-05,2.23845e-05,2.09591e-05,2.43559e-05,1.97672e-05,1.70658e-05,2.1432e-05,14458.563,14458.563,14458.563,13537.871,12442.097,14458.563,15330.369,14139.533,17757.062
6,,,,0.000157972,0.000148316,0.000167504,0.0001185576666666,0.000109271,0.000129764,,,,17264.744,16282.275,18388.752,23004.385,21017.741,24959.469
7,3.166375e-05,3.08788e-05,3.24487e-05,2.8766533333333337e-05,2.42387e-05,3.24487e-05,2.4290133333333333e-05,2.18894e-05,2.71181e-05,9570.517,9339.002,9813.803,10534.41,9339.002,12502.257,12475.784,11174.768,13844.074
8,,,,0.0004049883333333,0.000371901,0.000445362,0.000303986,0.000280086,0.000328342,,,,26937.528,24495.545,29334.11,35887.787,33225.675,38950.125
9,,,,0.000202944,0.000182129,0.000216348,0.000144106,0.000135907,0.000160436,,,,13438.91,12606.293,14974.805,18925.972,16999.59,20067.739
10,4.58635e-05,4.44369e-05,4.8347e-05,4.47189e-05,4.43579e-05,4.49922e-05,4.18945e-05,4.03854e-05,4.46512e-05,6607.399,6267.989,6819.523,6776.519,6735.356,6831.668,7233.371,6786.793,7503.664
