testcase_,1_mean,1_min,1_max,2_mean,2_min,2_max,best_mean,best_min,best_max,1_mean_gflops,1_min_gflops,1_max_gflops,2_mean_gflops,2_min_gflops,2_max_gflops,best_mean_gflops,best_min_gflops,best_max_gflops
0,,,,1.3942233333333332e-05,1.30708e-05,1.53614e-05,9.963296666666669e-06,9.24827e-06,1.07908e-05,,,,16928.988,15365.0,18057.648,23689.74,21873.068,25521.303
1,4.730726666666667e-06,4.12478e-06,5.45479e-06,4.52109e-06,4.12478e-06,4.99537e-06,3.3009466666666667e-06,3.13895e-06,3.47934e-06,5430.479,4709.643,6228.238,5682.283,5142.785,6228.238,7782.65,7383.616,8184.301
2,,,,2.29285e-05,1.88895e-05,2.49907e-05,1.4708499999999998e-05,1.34095e-05,1.63166e-05,,,,10084.001,9251.882,12240.187,15719.55,14170.293,17242.329
3,9.20742e-06,7.80553e-06,1.00661e-05,8.954996666666667e-06,7.80553e-06,9.75063e-06,6.473623333333334e-06,5.80322e-06,7.06423e-06,11160.613,10208.566,13165.083,11475.208,10538.852,13165.083,15873.714,14546.589,17707.488
4,1.80303e-05,1.80303e-05,1.80303e-05,1.3876e-05,1.12788e-05,1.80303e-05,8.123133333333334e-06,7.66125e-06,8.46251e-06,2849.66,2849.66,2849.66,3702.812,2849.66,4555.469,6325.173,6071.511,6706.507
5,,,,3.1016500000000004e-05,2.83615e-05,3.50052e-05,1.66127e-05,1.35659e-05,1.84689e-05,,,,7454.452,6605.047,8152.284,13917.726,12518.938,17043.544
6,1.1913986666666668e-05,9.77006e-06,1.31027e-05,1.0706363333333332e-05,9.12809e-06,1.31027e-05,7.214063333333334e-06,6.27547e-06,8.589e-06,8625.194,7842.693,10517.893,9598.072,7842.693,11257.607,14244.462,11964.192,16374.941
7,1.6552299999999997e-05,1.2332e-05,1.90384e-05,1.42709e-05,1.21942e-05,1.82865e-05,1.0175586666666666e-05,9.13446e-06,1.12577e-05,3104.114,2698.768,4166.415,3600.349,2809.735,4213.497,5049.362,4564.007,5624.878
8,,,,4.831246666666666e-05,3.15392e-05,5.85021e-05,2.65726e-05,2.38438e-05,2.90774e-05,,,,4785.742,3952.183,7330.909,8701.106,7951.571,9696.903
9,1.0339893333333336e-05,9.87958e-06,1.112e-05,9.643676666666666e-06,9.08736e-06,9.96409e-06,9.192213333333334e-06,8.78713e-06,9.61943e-06,9938.25,9241.047,10401.297,10655.733,10313.079,11308.064,11179.076,10682.592,11694.427
10,2.297403333333333e-05,2.02252e-05,2.49238e-05,1.822743333333333e-05,1.57192e-05,2.30846e-05,1.4946333333333331e-05,1.46355e-05,1.53537e-05,2236.448,2061.492,2540.406,2818.84,2225.736,3268.628,3437.647,3346.439,3510.657
11,,,,6.762186666666666e-05,6.5324e-05,7.02213e-05,3.31926e-05,2.98523e-05,3.82302e-05,,,,3419.175,3292.605,3539.45,6965.74,6047.863,7745.166
12,2.1439766666666668e-05,2.03474e-05,2.28106e-05,1.8171966666666665e-05,1.59642e-05,1.97003e-05,1.3464733333333332e-05,1.14557e-05,1.50143e-05,4792.984,4504.943,5050.299,5654.889,5216.187,6436.931,7631.822,6844.172,8970.246
