testcase_,1_mean,1_min,1_max,2_mean,2_min,2_max,best_mean,best_min,best_max,1_mean_gflops,1_min_gflops,1_max_gflops,2_mean_gflops,2_min_gflops,2_max_gflops,best_mean_gflops,best_min_gflops,best_max_gflops
0,,,,3.8193566666666666e-05,3.24948e-05,4.20215e-05,2.68594e-05,2.36068e-05,3.01566e-05,,,,13389.098,12169.423,15737.207,19039.048,16957.396,21662.293
1,,,,0.0001194956666666,0.000106627,0.000139376,8.174753333333334e-05,7.56756e-05,8.9655e-05,,,,22823.808,19568.263,25578.382,33363.039,30420.458,36039.968
2,,,,0.0001243049999999,0.00012072,0.000129902,8.092936666666667e-05,7.54618e-05,8.75362e-05,,,,21940.76,20995.413,22592.331,33700.328,31156.781,36142.077
3,,,,2.0651866666666668e-05,1.69063e-05,2.33685e-05,1.6811866666666667e-05,1.49021e-05,2.01739e-05,,,,14673.66,12967.818,17924.588,18025.272,15021.313,20335.286
4,,,,0.000149192,0.000134694,0.000162119,9.20184e-05,8.43207e-05,9.92542e-05,,,,18280.78,16823.113,20248.461,29639.139,27478.396,32344.919
5,2.6577033333333337e-05,2.38919e-05,2.90345e-05,2.6577033333333337e-05,2.38919e-05,2.90345e-05,2.0452166666666664e-05,1.9858e-05,2.10569e-05,11402.268,10437.186,12683.732,11402.268,10437.186,12683.732,14816.937,14391.409,15260.271
6,,,,0.000202438,0.000181266,0.000230421,0.0001298983333333,0.000112365,0.000161306,,,,13472.501,11836.361,15046.099,20996.006,16907.903,24272.204
7,3.437963333333333e-05,3.32943e-05,3.57443e-05,3.05406e-05,2.96263e-05,3.12729e-05,2.3408966666666666e-05,2.24238e-05,2.49871e-05,8814.476,8477.952,9101.812,9922.479,9690.13,10228.698,12945.401,12127.797,13514.144
8,,,,0.0004489943333333,0.000384899,0.00052119,0.0003226436666666,0.000309255,0.000341661,,,,24297.377,20931.685,28343.5,33812.487,31930.436,35276.341
9,,,,0.0002372486666666,0.000181828,0.000302314,0.000154811,0.000133106,0.000177197,,,,11495.728,9021.568,14999.594,17617.263,15391.605,20490.032
10,5.0928266666666665e-05,4.39787e-05,5.5084e-05,5.021556666666666e-05,4.39655e-05,5.44105e-05,4.4137133333333335e-05,4.00212e-05,4.96949e-05,5950.3,5501.388,6890.573,6034.751,5569.485,6892.642,6865.839,6097.979,7571.948
