testcase_,1_mean,1_min,1_max,2_mean,2_min,2_max,best_mean,best_min,best_max,1_mean_gflops,1_min_gflops,1_max_gflops,2_mean_gflops,2_min_gflops,2_max_gflops,best_mean_gflops,best_min_gflops,best_max_gflops
0,1.4976e-05,1.184e-05,1.712e-05,1.4944000000000005e-05,1.184e-05,1.7024e-05,1.3034666666666666e-05,1.1296e-05,1.5968e-05,15760.41,13786.677,19934.789,15794.158,13864.421,19934.789,18107.705,14781.307,20894.822
1,5.653333333333333e-06,4.992e-06,6.176e-06,5.237333333333334e-06,4.864e-06,5.504e-06,5.056e-06,4.864e-06,5.248e-06,4544.242,4159.668,5146.256,4905.189,4667.535,5281.684,5081.114,4895.22,5281.684
2,2.3104e-05,2.1024e-05,2.5696e-05,1.872e-05,1.7728e-05,1.9872e-05,1.4506666666666668e-05,1.392e-05,1.5328e-05,10007.402,8997.938,10997.479,12351.015,11635.014,13042.137,15938.259,15084.225,16609.986
3,7.968e-06,7.872e-06,8.096e-06,7.968e-06,7.872e-06,8.096e-06,7.754666666666667e-06,7.552e-06,8.096e-06,12896.643,12692.743,13053.919,12896.643,12692.743,13053.919,13251.433,12692.743,13607.051
4,1.0794666666666668e-05,9.888e-06,1.1552e-05,1.0570666666666663e-05,9.888e-06,1.152e-05,9.557333333333333e-06,9.472e-06,9.696e-06,4759.779,4447.734,5196.22,4860.642,4460.089,5196.22,5376.0,5299.116,5424.432
5,2.900266666666667e-05,2.5856e-05,3.3024e-05,2.2944000000000003e-05,1.9488e-05,2.8128e-05,2.0128e-05,1.6928e-05,2.2656e-05,7972.06,7001.302,8942.257,10077.188,8219.959,11864.276,11487.033,10205.288,13658.495
6,1.0592e-05,8.992e-06,1.3184e-05,1.0506666666666664e-05,8.864e-06,1.3184e-05,8.437333333333333e-06,8.32e-06,8.544e-06,9701.704,7794.33,11427.986,9780.499,7794.33,11593.011,12179.257,12027.206,12351.015
7,1.8112e-05,1.2e-05,2.8352e-05,1.3141333333333334e-05,1.2e-05,1.4176e-05,1.3141333333333334e-05,1.2e-05,1.4176e-05,2836.806,1812.226,4281.685,3909.818,3624.451,4281.685,3909.818,3624.451,4281.685
8,5.2032e-05,4.3584e-05,5.968e-05,4.109866666666667e-05,3.5776e-05,4.5664e-05,3.1338666666666665e-05,3.024e-05,3.328e-05,4443.631,3874.179,5304.952,5625.754,5063.31,6462.741,7377.819,6947.446,7645.867
9,1.1370666666666668e-05,1.0688e-05,1.2704e-05,1.1338666666666669e-05,1.0688e-05,1.264e-05,1.056e-05,1.0368e-05,1.0688e-05,9037.328,8088.826,9614.563,9062.833,8129.782,9614.563,9731.103,9614.563,9911.309
10,2.3573333333333334e-05,2.192e-05,2.5856e-05,2.1770666666666668e-05,2.096e-05,2.2752e-05,2.069333333333333e-05,1.952e-05,2.16e-05,2179.591,1987.168,2343.988,2360.067,2258.273,2451.347,2482.936,2378.714,2632.184
11,6.935466666666667e-05,5.3888e-05,9.8592e-05,6.036266666666666e-05,4.5664e-05,8.6144e-05,4.584533333333333e-05,4.5664e-05,4.608e-05,3333.748,2345.13,4290.584,3830.364,2684.006,5063.31,5043.283,5017.6,5063.31
12,1.712e-05,1.632e-05,1.8208e-05,1.6672000000000002e-05,1.5488e-05,1.8208e-05,1.6672000000000002e-05,1.5488e-05,1.8208e-05,6002.363,5643.698,6296.596,6163.655,5643.698,6634.843,6163.655,5643.698,6634.843
