testcase_,1_mean,1_min,1_max,2_mean,2_min,2_max,best_mean,best_min,best_max,1_mean_gflops,1_min_gflops,1_max_gflops,2_mean_gflops,2_min_gflops,2_max_gflops,best_mean_gflops,best_min_gflops,best_max_gflops
0,2.7483166666666665e-05,2.40905e-05,3.11011e-05,2.2633233333333336e-05,2.18445e-05,2.31852e-05,2.114633333333333e-05,2.06296e-05,2.17781e-05,18606.932,16442.422,21227.347,22594.094,22056.2,23409.893,24182.793,23481.268,24788.528
1,7.757946666666666e-05,7.01922e-05,8.82353e-05,6.941393333333334e-05,6.67145e-05,7.2632e-05,6.52426e-05,6.12438e-05,6.93679e-05,35155.516,30909.921,38855.402,39291.048,37550.201,40880.861,41803.15,39317.122,44532.609
2,8.826210000000001e-05,8.59556e-05,9.08812e-05,8.270463333333333e-05,7.75086e-05,8.552e-05,7.559553333333335e-05,7.11136e-05,7.81644e-05,30900.536,30010.015,31729.709,32976.945,31891.326,35187.659,36078.139,34892.434,38351.963
3,1.5084933333333334e-05,1.35756e-05,1.59547e-05,1.3721366666666669e-05,1.35756e-05,1.39054e-05,1.3305966666666666e-05,1.29721e-05,1.35654e-05,20088.817,18993.68,22322.289,22085.152,21792.862,22322.289,22774.63,22339.073,23360.787
4,0.0001214626666666,0.000100146,0.000146522,0.0001115862999999,9.85829e-05,0.000130056,9.240733333333332e-05,8.87056e-05,9.44276e-05,22454.193,18613.902,27233.701,24441.586,20970.553,27665.51,29514.391,28882.934,30746.043
5,2.0284e-05,1.85308e-05,2.14164e-05,1.7707833333333334e-05,1.70956e-05,1.87462e-05,1.53798e-05,1.52483e-05,1.5572e-05,14939.778,14149.832,16353.232,17113.244,16165.328,17726.109,19703.667,19460.472,19873.59
6,0.000145673,0.000134379,0.000163366,0.0001363136666666,0.000131338,0.000139274,0.0001195773333333,0.000118897,0.000120112,18722.386,16694.699,20295.926,20007.87,19582.594,20765.857,22808.22,22706.692,22938.73
7,2.7964166666666666e-05,2.42656e-05,3.04689e-05,2.4307866666666668e-05,2.04267e-05,2.82461e-05,2.2768566666666667e-05,2.04267e-05,2.42384e-05,10836.671,9945.829,12488.398,12466.683,10728.506,14835.41,13309.51,12502.412,14835.41
8,0.000430665,0.000357512,0.000511929,0.0003696623333333,0.00033617,0.000391266,0.0003160356666666,0.000300837,0.000344161,25331.487,21310.347,30514.737,29511.756,27882.271,32451.988,34519.473,31698.492,36263.441
9,0.0001720453333333,0.000139297,0.000218741,0.0001720453333333,0.000139297,0.000218741,0.000142493,0.000139297,0.000147329,15852.486,12468.381,19579.36,15852.486,12468.381,19579.36,19140.212,18511.944,19579.36
10,3.88316e-05,3.48181e-05,4.46571e-05,3.853673333333333e-05,3.48181e-05,4.37725e-05,3.853673333333333e-05,3.48181e-05,4.37725e-05,7803.914,6785.897,8703.475,7863.626,6923.033,8703.475,7863.626,6923.033,8703.475
